type,color,intensity,shape,carat,origin,price,stock,treatment,hardness,clarity,dimensions,images,slug,metaTitle,metaDescription,keywords
Moonstone,White,Adularescence,Cabochon,3.0,India,650,16,None,6 Mohs,Translucent,10mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,moonstone-white-cabochon,White Moonstone Cabochon 3.0ct,White moonstone with blue adularescence,moonstone white gemstone
Alexandrite,Color Change,Strong,Cushion,1.5,Russia,8500,3,None,8.5 Mohs,VS,6x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,alexandrite-color-change,Russian Alexandrite 1.5ct,Rare color-changing alexandrite from Russia,alexandrite color change gemstone
Zircon,Blue,Bright,Round,2.8,Cambodia,950,12,Heat Treatment,7.5 Mohs,VVS,7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,zircon-blue-bright-round,Bright Blue Zircon 2.8ct,Bright blue zircon with exceptional brilliance,zircon blue gemstone
Iolite,Blue,Violet,Oval,2.5,India,580,15,None,7 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,iolite-blue-violet-oval,Iolite Blue Violet 2.5ct,Blue violet iolite with pleochroism,iolite blue gemstone
Kunzite,Pink,Pastel,Emerald Cut,4.5,Afghanistan,1400,9,None,6.5 Mohs,VS1,11x9mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,kunzite-pink-pastel,Pastel Pink Kunzite 4.5ct,Pastel pink kunzite with delicate color,kunzite pink gemstone
Chrysoberyl,Yellow,Golden,Oval,2.0,Brazil,1600,10,None,8.5 Mohs,VVS,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,chrysoberyl-golden-yellow,Golden Chrysoberyl 2.0ct,Golden yellow chrysoberyl with high hardness,chrysoberyl yellow gemstone
Sapphire,Pink,Vivid,Round,1.8,Madagascar,3200,11,Heat Treatment,9 Mohs,VS,7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,pink-sapphire-vivid-round,Pink Sapphire Round 1.8ct,Vivid pink sapphire from Madagascar,sapphire pink gemstone
Emerald,Green,Vivid,Oval,2.2,Zambia,3800,6,Oil Treatment,7.5 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,zambian-emerald-vivid,Zambian Emerald 2.2ct,Vivid green Zambian emerald,emerald green gemstone zambia
Ruby,Red,Deep,Cushion,1.5,Thailand,4200,9,Heat Treatment,9 Mohs,VS1,6x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,thai-ruby-deep-red,Thai Ruby 1.5ct,Deep red Thai ruby with excellent color,ruby red gemstone thailand
Aquamarine,Blue,Medium,Oval,3.5,Nigeria,1400,13,None,7.5 Mohs,VVS,10x8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,aquamarine-medium-blue,Aquamarine Medium Blue 3.5ct,Medium blue aquamarine with clarity,aquamarine blue gemstone nigeria
Morganite,Peach,Soft,Cushion,3.2,Brazil,2000,10,Heat Treatment,7.5 Mohs,VS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,morganite-peach-cushion,Peach Morganite Cushion 3.2ct,Soft peach morganite from Brazil,morganite peach gemstone
Tanzanite,Blue,Intense,Oval,2.8,Tanzania,3600,5,Heat Treatment,6.5 Mohs,VS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,tanzanite-blue-intense,Tanzanite Blue Intense 2.8ct,Intense blue tanzanite,tanzanite blue gemstone
Topaz,Imperial,Golden,Oval,3.0,Brazil,1800,8,None,8 Mohs,VVS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,imperial-topaz-golden,Imperial Topaz Golden 3.0ct,Golden imperial topaz from Brazil,topaz imperial gemstone
Peridot,Green,Vivid,Cushion,2.0,Myanmar,850,16,None,6.5 Mohs,VS,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,peridot-vivid-green,Peridot Vivid Green 2.0ct,Vivid green peridot from Myanmar,peridot green gemstone myanmar
Amethyst,Purple,Royal,Round,4.0,Uruguay,680,20,None,7 Mohs,VVS,10mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,amethyst-royal-purple,Royal Purple Amethyst 4.0ct,Royal purple amethyst from Uruguay,amethyst purple gemstone uruguay
Citrine,Orange,Madeira,Emerald Cut,4.5,Bolivia,720,18,Heat Treatment,7 Mohs,VS,10x8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,citrine-madeira-orange,Madeira Citrine 4.5ct,Madeira orange citrine from Bolivia,citrine orange gemstone
Garnet,Orange,Spessartite,Round,1.8,Nigeria,1200,12,None,7.5 Mohs,VS,6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,spessartite-garnet-orange,Spessartite Garnet 1.8ct,Orange spessartite garnet,garnet orange spessartite
Tourmaline,Pink,Rubellite,Cushion,2.2,Brazil,2800,7,None,7.5 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,rubellite-tourmaline-pink,Rubellite Tourmaline 2.2ct,Pink rubellite tourmaline,tourmaline pink rubellite
Spinel,Blue,Cobalt,Round,1.5,Sri Lanka,3200,6,None,8 Mohs,VVS,6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,cobalt-spinel-blue,Cobalt Blue Spinel 1.5ct,Cobalt blue spinel from Sri Lanka,spinel blue cobalt
Opal,Black,Play of Color,Oval,1.8,Australia,3500,4,None,5.5 Mohs,Translucent,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,black-opal-australian,Black Opal Australian 1.8ct,Australian black opal with fire,opal black gemstone
Moonstone,Rainbow,Adularescence,Oval,3.5,Sri Lanka,780,14,None,6 Mohs,Translucent,10x8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,rainbow-moonstone-oval,Rainbow Moonstone 3.5ct,Rainbow moonstone from Sri Lanka,moonstone rainbow gemstone
Alexandrite,Green to Red,Strong,Oval,1.2,Brazil,7200,2,None,8.5 Mohs,VS,6x4mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,alexandrite-brazilian,Brazilian Alexandrite 1.2ct,Brazilian color-change alexandrite,alexandrite gemstone brazil
Zircon,Green,Bright,Cushion,3.2,Tanzania,1100,10,Heat Treatment,7.5 Mohs,VVS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,green-zircon-bright,Green Zircon 3.2ct,Bright green zircon from Tanzania,zircon green gemstone
Iolite,Blue,Deep,Cushion,2.8,Madagascar,620,13,None,7 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,iolite-deep-blue,Deep Blue Iolite 2.8ct,Deep blue iolite from Madagascar,iolite blue gemstone madagascar
Kunzite,Lilac,Pastel,Oval,5.0,Afghanistan,1600,8,None,6.5 Mohs,VS1,12x10mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,kunzite-lilac-pastel,Lilac Kunzite 5.0ct,Pastel lilac kunzite,kunzite lilac gemstone
Chrysoberyl,Green,Cat's Eye,Cabochon,2.5,Sri Lanka,2200,7,None,8.5 Mohs,Translucent,9mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,chrysoberyl-cats-eye,Cat's Eye Chrysoberyl 2.5ct,Green cat's eye chrysoberyl,chrysoberyl cats eye gemstone
Sapphire,Yellow,Vivid,Cushion,2.0,Sri Lanka,2800,9,Heat Treatment,9 Mohs,VS,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,yellow-sapphire-vivid,Yellow Sapphire 2.0ct,Vivid yellow sapphire from Sri Lanka,sapphire yellow gemstone
Emerald,Green,Medium,Round,1.5,Brazil,2400,8,Oil Treatment,7.5 Mohs,SI1,6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,brazilian-emerald-round,Brazilian Emerald 1.5ct,Medium green Brazilian emerald,emerald green gemstone brazil
Ruby,Pink,Vivid,Oval,1.6,Mozambique,3400,7,Heat Treatment,9 Mohs,VS,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,pink-ruby-mozambique,Pink Ruby Mozambique 1.6ct,Vivid pink ruby from Mozambique,ruby pink gemstone mozambique
Aquamarine,Blue,Deep,Emerald Cut,4.0,Pakistan,1800,11,None,7.5 Mohs,VVS,11x9mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,aquamarine-deep-blue,Deep Blue Aquamarine 4.0ct,Deep blue aquamarine from Pakistan,aquamarine blue gemstone pakistan
Morganite,Pink,Vivid,Round,2.5,Afghanistan,2200,9,Heat Treatment,7.5 Mohs,VS,8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,morganite-vivid-pink,Vivid Pink Morganite 2.5ct,Vivid pink morganite,morganite pink gemstone vivid
Tanzanite,Purple,Vivid,Cushion,2.5,Tanzania,3400,6,Heat Treatment,6.5 Mohs,VS1,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,tanzanite-purple-vivid,Purple Tanzanite 2.5ct,Vivid purple tanzanite,tanzanite purple gemstone
Topaz,Pink,Soft,Oval,3.5,Pakistan,1200,15,Irradiation,8 Mohs,VVS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,pink-topaz-soft,Soft Pink Topaz 3.5ct,Soft pink topaz from Pakistan,topaz pink gemstone
Peridot,Green,Deep,Oval,2.5,Egypt,720,17,None,6.5 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,peridot-deep-green,Deep Green Peridot 2.5ct,Deep green peridot from Egypt,peridot green gemstone egypt
Amethyst,Purple,Lavender,Cushion,3.8,Zambia,580,19,None,7 Mohs,VVS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,amethyst-lavender-purple,Lavender Amethyst 3.8ct,Lavender purple amethyst,amethyst lavender gemstone
Citrine,Yellow,Lemon,Round,3.5,Congo,480,21,Heat Treatment,7 Mohs,VS,9mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,citrine-lemon-yellow,Lemon Citrine 3.5ct,Lemon yellow citrine,citrine lemon gemstone
